City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Mana,GF,77.14,overcast clouds,5.6592,-53.7767,LE SAMANA
240,Muscle Shoals,US,70.75,clear sky,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
241,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
242,Porto Novo,BJ,80.42,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
245,Mon,IN,73.0,overcast clouds,26.75,95.1,NCK Cottage
246,Kiama,AU,72.0,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
249,La Palma,US,84.81,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
252,Yulara,AU,76.71,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
253,The Valley,AI,78.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
254,Oussouye,SN,72.5,clear sky,12.485,-16.5469,Auberge du Routard
261,Acapetahua,MX,78.19,few clouds,15.2833,-92.7,Hotel Carmen
262,Santa Maria Del Oro,MX,75.38,overcast clouds,25.9333,-105.3667,Hotel Palacio Del Sol
