City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Lasa,IT,46.6166,10.7002,56.28,86,25,1.9,scattered clouds
79,Hermanus,ZA,-34.4187,19.2345,50.81,80,1,8.84,clear sky
80,Buchanan,LR,5.8808,-10.0467,77.65,91,100,4.88,overcast clouds
81,Bluff,NZ,-46.6,168.3333,51.8,73,56,5.91,broken clouds
82,Lumeje,AO,-11.55,20.7833,57.42,65,0,4.9,clear sky
83,Nemuro,JP,43.3236,145.575,46.51,82,95,12.26,overcast clouds
84,Esna,EG,25.2934,32.554,78.82,32,6,21.7,clear sky
85,Roebourne,AU,-20.7833,117.1333,83.77,38,0,16.82,clear sky
86,Monrovia,LR,6.3005,-10.7969,74.97,87,100,5.95,overcast clouds
87,Sinnamary,GF,5.3833,-52.95,77.56,92,100,7.83,overcast clouds
88,Hithadhoo,MV,-0.6,73.0833,82.63,69,72,6.13,broken clouds
89,Eyl,SO,7.9803,49.8164,86.9,56,6,23.04,clear sky
90,Bethel,US,41.3712,-73.414,65.35,92,100,4.61,mist
91,Roald,NO,62.5833,6.1333,48.76,87,75,3.44,light intensity drizzle
92,Gornyak,RU,50.9942,81.4661,61.12,81,100,11.7,overcast clouds
93,Muros,ES,42.7762,-9.0603,65.16,72,94,19.1,overcast clouds
94,Codrington,AU,-38.2667,141.9667,65.43,61,19,22.59,few clouds
95,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,8.05,overcast clouds
96,Ilhabela,BR,-23.7781,-45.3581,70.77,89,89,9.08,overcast clouds
97,Puqi,CN,29.7167,113.8833,67.57,53,100,5.35,overcast clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,72.77,73,98,15.68,overcast clouds
99,Provideniya,RU,64.3833,-173.3,37.22,89,99,10.87,overcast clouds
100,Campbell River,CA,50.0163,-125.2446,51.33,93,75,6.91,broken clouds
101,Morant Bay,JM,17.8815,-76.4093,80.22,86,84,9.57,broken clouds
102,San Francisco Del Mar,MX,16.2333,-94.65,84.24,67,9,4.32,clear sky
103,East London,ZA,-33.0153,27.9116,54.54,87,0,9.22,clear sky
104,Makakilo City,US,21.3469,-158.0858,80.92,55,0,13.8,clear sky
105,Berezovyy,RU,51.6667,135.7,51.15,49,100,1.28,moderate rain
106,Tadine,NC,-21.55,167.8833,75.92,67,23,11.88,few clouds
107,Mumford,GH,5.2618,-0.759,79.16,85,47,4.14,light rain
108,Shingu,JP,33.7333,135.9833,70.52,60,91,6.76,light rain
109,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,57,0,10.36,clear sky
110,Mizur,RU,42.8531,44.0531,58.87,55,3,4.18,clear sky
111,Formiga,BR,-20.4644,-45.4264,60.53,81,8,3.24,light rain
112,Bull Savanna,JM,17.8868,-77.5902,75.34,86,41,9.89,scattered clouds
113,Albany,US,42.6001,-73.9662,68.68,85,100,3.56,light rain
114,Sakaiminato,JP,35.55,133.2333,67.93,55,75,11.5,broken clouds
115,Joacaba,BR,-27.1781,-51.5047,59.04,99,100,0.69,overcast clouds
116,Iqaluit,CA,63.7506,-68.5145,17.33,79,75,9.22,broken clouds
117,Ponta Do Sol,PT,32.6667,-17.1,66.7,75,23,7.9,few clouds
118,Magog,CA,45.2668,-72.1491,69.6,77,86,6.91,overcast clouds
119,Axim,GH,4.8699,-2.2405,78.66,87,96,3.27,light rain
120,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,60,0,9.22,clear sky
121,Kulhudhuffushi,MV,6.6221,73.07,82.53,79,100,21.45,moderate rain
122,Ahipara,NZ,-35.1667,173.1667,64.69,81,59,9.71,broken clouds
123,Fort Nelson,CA,58.8053,-122.7002,44.19,87,75,2.3,broken clouds
124,Tautira,PF,-17.7333,-149.15,80.28,74,21,9.31,light rain
125,Mason City,US,43.1536,-93.201,63.57,57,0,8.05,clear sky
126,Butaritari,KI,3.0707,172.7902,81.37,71,4,6.46,clear sky
127,Trofors,NO,65.5333,13.4063,37.87,99,100,7.78,light rain
128,Rawlins,US,41.7911,-107.2387,55.29,33,0,17.27,clear sky
129,Great Falls,US,47.5002,-111.3008,50.41,51,0,11.5,clear sky
130,Road Town,VG,18.4167,-64.6167,78.89,78,97,18.75,overcast clouds
131,Airai,TL,-8.9266,125.4092,68.13,82,91,1.54,overcast clouds
132,Mhlume,SZ,-26.0333,31.85,67.23,95,86,4.52,light rain
133,Lima,PE,-12.0432,-77.0282,62.91,83,100,5.75,overcast clouds
134,Plettenberg Bay,ZA,-34.0527,23.3716,55.8,72,0,3.56,clear sky
135,Vangaindrano,MG,-23.35,47.6,70.79,81,55,1.95,broken clouds
136,Vila Velha,BR,-20.3297,-40.2925,71.55,94,100,4.61,overcast clouds
137,Brae,GB,60.3964,-1.353,50.04,83,99,5.23,overcast clouds
138,Barra Do Corda,BR,-5.5,-45.25,74.89,91,100,2.26,overcast clouds
139,Juneau,US,58.3019,-134.4197,48.2,87,100,5.75,overcast clouds
140,Clarksburg,US,39.2807,-80.3445,64.85,96,75,4.61,light rain
141,Beringovskiy,RU,63.05,179.3167,43.99,73,100,14.47,overcast clouds
142,Salalah,OM,17.0151,54.0924,84.29,65,1,1.14,clear sky
